id,programa,semestre,jornada,promedio_acumulado,promedio_ultimo,materias_perdidas,dificultad_percibida,pct_creditos_aprobados,acceso_plataforma_mes,frecuencia_semanal,participacion_sincronica,consulta_profesores,estrato,trabaja,horas_semanales,dependientes,dificultad_pago,piensa_desertar,satisfaccion_programa,probabilidad_continuar_percibida,evento_estresante,claridad_proposito,deserto
EST_HIST_024,Administracion,2,Virtual,3.78,3.45,0,Poca,0.81,True,6,A_veces,1-2_veces,3,False,0,0,Ninguna,No,8,0.82,Ninguno,Muy_claro,0
EST_HIST_025,Contaduria,6,Diurna,3.45,3.67,0,Poca,0.85,True,8,Siempre,Regularmente,4,False,0,0,Ninguna,No,9,0.95,Ninguno,Muy_claro,0
EST_HIST_026,Derecho,2,Nocturna,2.90,2.56,1,Algo,0.69,True,3,A_veces,Nunca,2,True,25,1,Algunas,Si_alguna_vez,6,0.58,Desempleo_familiar,Algo_claro,0
EST_HIST_027,Psicologia,3,Virtual,2.23,1.78,3,Mucha,0.45,False,0,Nunca,Nunca,1,True,40,2,Graves,Si_frecuentemente,2,0.18,Problemas_salud,Nada_claro,1
EST_HIST_028,Medicina,4,Diurna,3.89,3.78,0,Poca,0.83,True,7,Siempre,Regularmente,3,False,0,0,Ninguna,No,8,0.90,Ninguno,Muy_claro,0
EST_HIST_029,Enfermeria,1,Nocturna,3.12,2.89,1,Algo,0.71,True,4,A_veces,1-2_veces,2,True,20,0,Algunas,No,6,0.70,Ninguno,Algo_claro,0
EST_HIST_030,Ingenieria_Sistemas,5,Virtual,2.67,2.23,2,Mucha,0.61,False,0,Nunca,Nunca,1,True,35,1,Graves,Si_frecuentemente,3,0.30,Desempleo_personal,Poco_claro,1
EST_HIST_031,Ingenieria_Industrial,2,Diurna,3.56,3.34,0,Poca,0.77,True,5,Siempre,Regularmente,3,False,10,0,Ninguna,No,7,0.85,Ninguno,Muy_claro,0
EST_HIST_032,Administracion,4,Nocturna,2.78,2.45,2,Algo,0.68,True,3,A_veces,Nunca,2,True,30,2,Algunas,Si_alguna_vez,5,0.52,Otro,Poco_claro,0
EST_HIST_033,Contaduria,3,Diurna,3.23,3.01,1,Poca,0.75,True,6,Siempre,Regularmente,3,False,0,0,Ninguna,No,7,0.80,Ninguno,Muy_claro,0
EST_HIST_034,Derecho,6,Virtual,2.34,1.90,3,Mucha,0.49,False,0,Nunca,Nunca,1,True,40,3,Graves,Si_frecuentemente,2,0.25,Desempleo_familiar,Nada_claro,1
EST_HIST_035,Psicologia,2,Diurna,3.67,3.89,0,Poca,0.86,True,8,Siempre,Regularmente,4,False,0,0,Ninguna,No,9,0.93,Ninguno,Muy_claro,0
EST_HIST_036,Medicina,5,Nocturna,3.45,3.12,1,Algo,0.74,True,4,A_veces,1-2_veces,3,True,15,1,Algunas,No,7,0.75,Ninguno,Algo_claro,0
EST_HIST_037,Enfermeria,3,Virtual,2.56,2.12,2,Mucha,0.59,False,1,Nunca,Nunca,2,True,35,2,Graves,Si_frecuentemente,4,0.38,Problemas_salud,Poco_claro,1
EST_HIST_038,Ingenieria_Sistemas,4,Diurna,3.78,3.56,0,Poca,0.80,True,6,Siempre,Regularmente,3,False,0,0,Ninguna,No,8,0.88,Ninguno,Muy_claro,0
EST_HIST_039,Ingenieria_Industrial,1,Nocturna,3.01,2.78,1,Algo,0.70,True,4,A_veces,1-2_veces,2,True,20,0,Algunas,No,6,0.72,Ninguno,Algo_claro,0
EST_HIST_040,Administracion,5,Virtual,2.45,2.01,3,Mucha,0.54,False,0,Nunca,Nunca,1,True,40,1,Graves,Si_frecuentemente,3,0.28,Desempleo_personal,Nada_claro,1
EST_HIST_041,Contaduria,2,Diurna,3.89,3.67,0,Poca,0.82,True,7,Siempre,Regularmente,4,False,0,0,Ninguna,No,8,0.90,Ninguno,Muy_claro,0
EST_HIST_042,Derecho,4,Nocturna,2.89,2.56,2,Algo,0.67,True,3,A_veces,Nunca,2,True,25,1,Algunas,Si_alguna_vez,5,0.55,Desempleo_familiar,Poco_claro,0
EST_HIST_043,Psicologia,3,Diurna,3.34,3.12,1,Poca,0.76,True,5,Siempre,Regularmente,3,False,0,0,Ninguna,No,7,0.82,Ninguno,Muy_claro,0
EST_HIST_044,Medicina,6,Virtual,2.12,1.78,3,Mucha,0.47,False,0,Nunca,Nunca,1,True,40,2,Graves,Si_frecuentemente,2,0.20,Otro,Nada_claro,1
EST_HIST_045,Enfermeria,2,Diurna,3.56,3.78,0,Poca,0.84,True,8,Siempre,Regularmente,3,False,0,0,Ninguna,No,9,0.92,Ninguno,Muy_claro,0
EST_HIST_046,Ingenieria_Sistemas,4,Nocturna,2.78,2.45,2,Algo,0.66,True,3,A_veces,1-2_veces,2,True,30,1,Algunas,Si_alguna_vez,6,0.60,Problemas_salud,Algo_claro,0
EST_HIST_047,Ingenieria_Industrial,5,Diurna,3.23,3.45,0,Poca,0.79,True,6,Siempre,Regularmente,3,False,10,0,Ninguna,No,8,0.85,Ninguno,Muy_claro,0
EST_HIST_048,Administracion,3,Virtual,2.67,2.23,2,Mucha,0.62,False,0,Nunca,Nunca,1,True,35,2,Graves,Si_frecuentemente,4,0.35,Desempleo_personal,Poco_claro,1
EST_HIST_049,Contaduria,1,Diurna,3.90,3.82,0,Poca,0.88,True,7,Siempre,Regularmente,4,False,0,0,Ninguna,No,9,0.95,Ninguno,Muy_claro,0
